Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4198242,23.903225806451612,-0.06900031,-5.861523714972965,-5.861523714972965,10.852474,0.9939434,0.0029599355,0.19866453,0.004933358,1.0
20000,1.4260726,23.83084577114428,-0.95367205,-5.46876899475482,-5.46876899475482,7.118551,0.89615846,0.00291995,0.19733162,0.004866851,1.0
30000,1.432025,24.44529262086514,-1.6778702,-5.698427823208671,-5.698427823208671,5.9110956,0.8091173,0.0028799602,0.19599867,0.0048003336,1.0
40000,1.4371189,24.466836734693878,-2.1016357,-5.6400545181668535,-5.6400545181668535,5.4294486,0.7455045,0.0028386554,0.19462188,0.004731628,1.0
50000,1.4399703,24.362025316455696,-2.5005488,-5.368142159981064,-5.368142159981064,3.9991393,0.63238496,0.0027773276,0.1925776,0.0046296213,1.0
60000,1.4425755,24.414758269720103,-2.671368,-5.297417601556268,-5.297417601556268,3.5751889,0.6049315,0.0027164544,0.19054848,0.0045283707,1.0
70000,1.4474659,24.045226130653266,-2.8151815,-4.951974736568623,-4.951974736568623,3.241266,0.494576,0.0026762253,0.18920751,0.0044614538,1.0
80000,1.44844,24.128140703517587,-3.0076065,-5.047357777405025,-5.047357777405025,2.820991,0.4774597,0.0026365204,0.18788399,0.0043954113,1.0
90000,1.4495484,24.95077720207254,-3.1193228,-4.533511592007671,-4.533511592007671,2.9441543,0.35518163,0.0025750496,0.18583503,0.004293166,1.0
100000,1.4498332,24.440203562340965,-3.1128926,-4.251754035324844,-4.251754035324844,2.590237,0.27263024,0.0025135295,0.18378435,0.0041908384,1.0
110000,1.4508141,23.965,-3.197498,-4.100950991362334,-4.100950991362334,2.357571,0.19677162,0.00247258,0.18241933,0.004122725,1.0
120000,1.4507571,24.299492385786802,-3.2646775,-4.151534150823762,-4.151534150823762,2.7295303,0.21123354,0.0024327906,0.18109305,0.0040565412,1.0
130000,1.4489359,25.517241379310345,-3.2625015,-3.9286571643080572,-3.9286571643080572,2.2951734,0.2067031,0.0023920753,0.17973581,0.003988818,1.0
140000,1.4493505,25.156657963446474,-3.202353,-3.804376081916122,-3.804376081916122,2.3651934,0.16552132,0.002328795,0.17762652,0.0038835625,1.0
150000,1.450861,24.948051948051948,-3.0492935,-3.341974145096618,-3.341974145096618,2.1409905,0.1593551,0.0022658103,0.17552704,0.0037787978,1.0
160000,1.4484047,24.963636363636365,-3.0003026,-3.3253211722745526,-3.3253211722745526,2.1339853,0.16449502,0.0022239846,0.17413284,0.003709228,1.0
170000,1.4468408,25.954301075268816,-2.898794,-2.9333230938001345,-2.9333230938001345,1.9568253,0.13156565,0.002181795,0.17272654,0.003639052,1.0
180000,1.4448934,25.671122994652407,-2.8704123,-2.9819103731191094,-2.9819103731191094,1.8656192,0.16029641,0.0021389604,0.17129865,0.003567803,1.0
190000,1.443541,25.61968085106383,-2.7159638,-2.4103687391319175,-2.4103687391319175,2.0363383,0.1587824,0.0020745653,0.1691522,0.0034606932,1.0
200000,1.4412941,25.674666666666667,-2.691128,-2.3069417963027954,-2.3069417963027954,2.0037813,0.20257153,0.0020102048,0.16700687,0.003353641,1.0
210000,1.4392611,25.40740740740741,-2.5025625,-1.8827205338175335,-1.8827205338175335,1.8485482,0.19788043,0.001967605,0.16558686,0.003282783,1.0
220000,1.4372219,26.07027027027027,-2.4475946,-1.872547047847026,-1.872547047847026,1.8389361,0.23409085,0.0019254846,0.16418281,0.0032127227,1.0
230000,1.4344757,25.70855614973262,-2.2289758,-1.3798794221272443,-1.3798794221272443,1.8016675,0.1904466,0.0018821605,0.16273871,0.003140659,1.0
240000,1.4317778,26.26975476839237,-2.0779452,-1.1700904070518972,-1.1700904070518972,1.9974023,0.2000227,0.0018386604,0.16128868,0.0030683046,1.0
250000,1.4292306,26.424,-1.9233892,-0.9321333914180923,-0.9321333914180923,1.8582227,0.22566558,0.0017737905,0.15912634,0.0029604034,1.0
260000,1.4271864,26.423728813559322,-1.6590829,-0.3222788713523507,-0.3222788713523507,1.9361153,0.28751266,0.0017078356,0.15692787,0.0028506985,1.0
270000,1.4248532,25.940700808625337,-1.6101094,-0.3717923413791425,-0.3717923413791425,1.9126728,0.23558098,0.0016641006,0.15546997,0.0027779539,1.0
280000,1.4224157,25.89812332439678,-1.6338404,-0.457401434793549,-0.457401434793549,1.7808518,0.25260562,0.0016210751,0.15403587,0.0027063875,1.0
290000,1.4199659,26.785515320334262,-1.3416177,0.35752510269040183,0.35752510269040183,1.9216835,0.26604578,0.0015767701,0.15255898,0.0026326936,1.0
300000,1.4168174,26.10054347826087,-1.3814992,0.3696336167130044,0.3696336167130044,1.9080929,0.277919,0.0015329754,0.15109918,0.0025598486,1.0
310000,1.4136482,26.53021978021978,-1.2548374,0.7168040344348321,0.7168040344348321,2.0628278,0.3632174,0.0014896651,0.14965549,0.0024878092,1.0
320000,1.4106582,25.46419098143236,-1.0625786,1.0470215714578603,1.0470215714578603,2.1566486,0.3331,0.001424425,0.14748085,0.0023792938,1.0
330000,1.4071523,26.367847411444142,-0.95213455,1.092897079296268,1.092897079296268,1.9094417,0.32128873,0.0013600851,0.14533617,0.002272275,1.0
340000,1.4042865,26.771587743732592,-0.8190675,1.6671715342234767,1.6671715342234767,2.4536796,0.38932762,0.001315285,0.14384285,0.0021977574,1.0
350000,1.4012392,26.242506811989102,-0.71736485,1.7304144127329948,1.7304144127329948,2.292534,0.341008,0.0012717904,0.14239302,0.002125411,1.0
360000,1.3977804,25.954177897574123,-0.5669478,2.0328820250587,2.0328820250587,2.292068,0.38923296,0.0012280602,0.14093535,0.002052673,1.0
370000,1.395309,26.34426229508197,-0.57047975,1.721953026991073,1.721953026991073,2.2089815,0.3916292,0.0011848301,0.13949434,0.0019807671,1.0
380000,1.3928487,26.596685082872927,-0.4729127,2.0674785508964604,2.0674785508964604,2.52719,0.31631416,0.0011412103,0.13804033,0.0019082127,1.0
390000,1.389259,25.927419354838708,-0.28007996,2.3699330652272828,2.3699330652272828,2.4162574,0.3541534,0.001075135,0.13583782,0.0017983076,1.0
400000,1.3860549,27.294617563739376,-0.200493,2.4793079838198913,2.4793079838198913,2.2524347,0.31865412,0.0010085299,0.13361767,0.0016875218,1.0
410000,1.3838333,26.68421052631579,0.007542449,2.7094786855652724,2.7094786855652724,2.3144279,0.31325895,0.000964415,0.13214715,0.0016141434,1.0
420000,1.3821657,25.46825396825397,0.07669961,2.6098617108726,2.6098617108726,2.4072185,0.30531523,0.0009211053,0.1307035,0.001542105,1.0
430000,1.3797888,26.905027932960895,0.24920788,3.177227849983636,3.177227849983636,2.409201,0.32846954,0.00087728,0.12924266,0.0014692091,1.0
440000,1.3780247,26.089430894308943,0.31883976,3.0210806475422247,3.0210806475422247,2.2735014,0.28667468,0.00083306496,0.12776881,0.0013956648,1.0
450000,1.3763534,26.356948228882835,0.23099004,2.7713771150612376,2.7713771150612376,2.3472788,0.30530018,0.0007898153,0.1263272,0.0013237258,1.0
460000,1.3743029,26.49865229110512,0.4427924,3.307863943299428,3.307863943299428,2.2943056,0.25657678,0.0007239276,0.124130905,0.0012141329,1.0
470000,1.372608,26.497191011235955,0.60444355,3.7139264084602313,3.7139264084602313,2.5110652,0.30967897,0.00065766025,0.121922,0.0011039076,1.0
480000,1.370835,26.062330623306234,0.75970423,3.8784141501760097,3.8784141501760097,2.5731788,0.263526,0.00061403523,0.12046786,0.0010313449,1.0
490000,1.3694354,26.21195652173913,0.7878836,4.001265471639193,4.001265471639193,2.8247497,0.31053364,0.00057062006,0.11902068,0.0009591313,1.0
500000,1.36865,26.785515320334262,0.7634419,4.048077067209817,4.048077067209817,2.732356,0.2899111,0.0005268752,0.11756251,0.000886369,1.0
510000,1.3674048,27.43465909090909,0.8376265,4.175383369692347,4.175383369692347,2.705479,0.27690583,0.00048195015,0.11606501,0.00081164367,1.0
520000,1.3660792,26.295081967213115,0.96229887,4.063371910342102,4.063371910342102,2.6883247,0.27538618,0.00043659005,0.11455299,0.00073619443,1.0
530000,1.3646506,27.208450704225353,1.0499862,4.453855689058841,4.453855689058841,2.869746,0.26536208,0.00039279007,0.11309298,0.0006633406,1.0
540000,1.3630472,27.68888888888889,1.1014378,4.6976979561578265,4.6976979561578265,2.980482,0.28799218,0.00032433996,0.11081134,0.0005494855,1.0
