Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189384,23.69672131147541,0.024877507,-5.64404838735407,-5.64404838735407,1.0
6000,1.4189385,23.524193548387096,0.025535522,-5.279561880158215,-5.279561880158215,1.0
9000,1.4189384,24.68695652173913,0.028120436,-5.896711520336825,-5.896711520336825,1.0
12000,1.4189385,23.917355371900825,0.026172034,-5.468192426626348,-5.468192426626348,1.0
15000,1.4189385,24.724137931034484,0.028560104,-6.084655396897217,-6.084655396897217,1.0
18000,1.4189385,23.8099173553719,0.025952773,-5.968033452664525,-5.968033452664525,1.0
21000,1.419022,24.80672268907563,-0.05813901,-5.475094891827682,-5.475094891827682,1.0
24000,1.4184669,24.26086956521739,-0.5030531,-5.993660909788949,-5.993660909788949,1.0
27000,1.4184669,23.71900826446281,-0.50447273,-6.04380830605168,-6.04380830605168,1.0
30000,1.4184668,25.0,-0.48155823,-5.411561836544265,-5.411561836544265,1.0
33000,1.4184669,23.766666666666666,-0.49925694,-5.683908192813396,-5.683908192813396,1.0
36000,1.4184669,22.496062992125985,-0.48588294,-5.428096913446591,-5.428096913446591,1.0
39000,1.418467,25.08695652173913,-0.48850146,-6.0677405492119165,-6.0677405492119165,1.0
42000,1.4187794,23.74380165289256,-0.6724172,-5.37165066990696,-5.37165066990696,1.0
45000,1.4202222,22.4453125,-1.0237067,-5.231853129342198,-5.231853129342198,1.0
48000,1.4202222,24.415254237288135,-0.9893907,-5.178495231826426,-5.178495231826426,1.0
51000,1.4202223,22.761904761904763,-1.0055345,-5.03582419999062,-5.03582419999062,1.0
54000,1.420222,24.168067226890756,-1.0146636,-5.503631980479264,-5.503631980479264,1.0
57000,1.4202222,24.210084033613445,-1.0127712,-5.497337070332856,-5.497337070332856,1.0
60000,1.4202223,23.975206611570247,-1.0131739,-5.498393573051642,-5.498393573051642,1.0
63000,1.4195349,25.12280701754386,-1.2084874,-5.850654455889826,-5.850654455889826,1.0
66000,1.4186437,24.904347826086955,-1.4106138,-5.270044538508291,-5.270044538508291,1.0
69000,1.4186437,23.414634146341463,-1.4100713,-4.726360251748465,-4.726360251748465,1.0
72000,1.4186436,24.440677966101696,-1.4277588,-5.256310120982639,-5.256310120982639,1.0
75000,1.4186437,23.3739837398374,-1.4612696,-5.217049274502731,-5.217049274502731,1.0
78000,1.4186438,24.18487394957983,-1.4472315,-5.357700519201134,-5.357700519201134,1.0
81000,1.4186436,23.370967741935484,-1.4508647,-5.180602780753566,-5.180602780753566,1.0
84000,1.4189366,23.816666666666666,-1.7293566,-5.253006899853547,-5.253006899853547,1.0
87000,1.419203,24.415254237288135,-1.8153707,-5.166069910806768,-5.166069910806768,1.0
90000,1.419203,26.063063063063062,-1.7907835,-5.036769812171523,-5.036769812171523,1.0
93000,1.4192029,23.669421487603305,-1.7876692,-4.544548877507202,-4.544548877507202,1.0
96000,1.419203,24.058333333333334,-1.8506587,-5.117712866266569,-5.117712866266569,1.0
99000,1.419203,23.99173553719008,-1.8794122,-5.287285761892303,-5.287285761892303,1.0
102000,1.419203,25.256637168141594,-1.8448352,-5.1636273644666755,-5.1636273644666755,1.0
105000,1.4198189,24.218487394957982,-2.1545,-4.876906457568417,-4.876906457568417,1.0
108000,1.4200964,23.619834710743802,-2.1684692,-4.783252885107134,-4.783252885107134,1.0
111000,1.4200964,23.483606557377048,-2.1913958,-4.621453198253131,-4.621453198253131,1.0
114000,1.4200966,24.801724137931036,-2.1844344,-4.630352471409173,-4.630352471409173,1.0
117000,1.4200965,24.091666666666665,-2.1810453,-5.068712291121483,-5.068712291121483,1.0
120000,1.4200964,23.74380165289256,-2.15793,-4.941552369555166,-4.941552369555166,1.0
123000,1.4200956,24.708029197080293,-2.232332,-5.183995053424674,-5.183995053424674,1.0
126000,1.4206265,25.73913043478261,-2.3670325,-4.4848767811698576,-4.4848767811698576,1.0
129000,1.4206268,24.406779661016948,-2.4338162,-4.935054194119017,-4.935054194119017,1.0
132000,1.4206268,25.741071428571427,-2.436014,-4.971499126404524,-4.971499126404524,1.0
135000,1.4206266,24.327731092436974,-2.4764493,-5.129391512950929,-5.129391512950929,1.0
138000,1.4206268,24.675213675213676,-2.4263382,-4.711792088471926,-4.711792088471926,1.0
141000,1.4206268,24.93913043478261,-2.4784954,-5.034251043589219,-5.034251043589219,1.0
144000,1.4207115,24.408333333333335,-2.5260289,-5.0761717426574835,-5.0761717426574835,1.0
147000,1.4220302,24.82608695652174,-2.655087,-4.780861055749094,-4.780861055749094,1.0
150000,1.4220302,24.322033898305083,-2.6436644,-4.896747574462729,-4.896747574462729,1.0
153000,1.4220303,26.09009009009009,-2.5850823,-4.39793926584828,-4.39793926584828,1.0
156000,1.4220301,25.678571428571427,-2.5326087,-4.403724645929677,-4.403724645929677,1.0
159000,1.4220302,24.533898305084747,-2.608258,-4.546737698175139,-4.546737698175139,1.0
162000,1.4220302,24.75862068965517,-2.5625641,-4.365984602221127,-4.365984602221127,1.0
165000,1.4224135,24.82051282051282,-2.6557689,-4.595075849793915,-4.595075849793915,1.0
168000,1.4230882,25.732142857142858,-2.6643498,-4.087525399667876,-4.087525399667876,1.0
171000,1.4230882,26.431192660550458,-2.7081652,-4.542224839193012,-4.542224839193012,1.0
174000,1.4230883,23.859504132231404,-2.733441,-4.098193738578765,-4.098193738578765,1.0
177000,1.4230881,25.767857142857142,-2.717512,-4.537690280803612,-4.537690280803612,1.0
180000,1.4230881,24.771186440677965,-2.616364,-3.580833138563694,-3.580833138563694,1.0
183000,1.4230882,25.123893805309734,-2.7018328,-4.082258716487048,-4.082258716487048,1.0
186000,1.4221616,25.758928571428573,-2.7612908,-4.0697259950850695,-4.0697259950850695,1.0
189000,1.4208258,24.45762711864407,-2.8010619,-3.7409060112500594,-3.7409060112500594,1.0
192000,1.4208258,25.945945945945947,-2.7809289,-3.857427488039206,-3.857427488039206,1.0
195000,1.4208258,25.26086956521739,-2.8119125,-3.9697133717329605,-3.9697133717329605,1.0
