Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189386,23.65573770491803,0.21818249,-5.651828429915688,-5.651828429915688,1.0
6000,1.4189385,24.159663865546218,0.22001165,-5.355977414535875,-5.355977414535875,1.0
9000,1.4189386,24.610169491525422,0.23262058,-5.585153264514471,-5.585153264514471,1.0
12000,1.4189384,23.112903225806452,0.21771939,-5.450948068211155,-5.450948068211155,1.0
15000,1.4189385,23.760330578512395,0.20474342,-5.694186157431484,-5.694186157431484,1.0
18000,1.4189385,22.849206349206348,0.22733787,-5.638333765287248,-5.638333765287248,1.0
21000,1.419234,23.83739837398374,0.102548964,-5.581235993992198,-5.581235993992198,1.0
24000,1.4198377,23.798319327731093,-0.48583865,-5.1797464031818485,-5.1797464031818485,1.0
27000,1.4198377,23.916666666666668,-0.48822874,-5.353990911444028,-5.353990911444028,1.0
30000,1.4198377,24.15126050420168,-0.49107116,-5.779137549280119,-5.779137549280119,1.0
33000,1.4198378,23.056910569105693,-0.48711702,-4.729840586262364,-4.729840586262364,1.0
36000,1.4198378,24.319327731092436,-0.49655616,-6.073634936028168,-6.073634936028168,1.0
39000,1.4198378,23.14516129032258,-0.4904362,-5.540497028539257,-5.540497028539257,1.0
42000,1.4199563,24.93103448275862,-0.7514867,-5.606173548205145,-5.606173548205145,1.0
45000,1.4201413,23.306451612903224,-1.2840765,-5.182650655508041,-5.182650655508041,1.0
48000,1.4201415,24.016949152542374,-1.2307342,-4.77112654728048,-4.77112654728048,1.0
51000,1.4201412,24.058333333333334,-1.2658563,-5.115358330309391,-5.115358330309391,1.0
54000,1.4201416,24.564102564102566,-1.2781769,-5.484235184824365,-5.484235184824365,1.0
57000,1.4201413,22.793650793650794,-1.3196859,-5.485305207589316,-5.485305207589316,1.0
60000,1.4201412,23.892561983471076,-1.2942591,-5.323327763021485,-5.323327763021485,1.0
63000,1.419256,24.576271186440678,-1.4515967,-5.0543096555491624,-5.0543096555491624,1.0
66000,1.4183539,24.203389830508474,-1.6730521,-5.224970172522432,-5.224970172522432,1.0
69000,1.4183539,23.495934959349594,-1.6418172,-4.796255869109456,-4.796255869109456,1.0
72000,1.4183538,24.333333333333332,-1.6390666,-4.87310456219366,-4.87310456219366,1.0
75000,1.4183538,24.285714285714285,-1.639299,-4.886428909141476,-4.886428909141476,1.0
78000,1.4183538,24.555555555555557,-1.6589622,-4.895622017037155,-4.895622017037155,1.0
81000,1.4183539,24.133333333333333,-1.6304634,-4.88080301557978,-4.88080301557978,1.0
84000,1.4183475,24.45299145299145,-1.901431,-4.84844450512503,-4.84844450512503,1.0
87000,1.4183232,24.836206896551722,-2.0339313,-4.880363768491989,-4.880363768491989,1.0
90000,1.4183234,24.24576271186441,-2.0309987,-4.649904013185178,-4.649904013185178,1.0
93000,1.4183234,23.57377049180328,-2.0130932,-4.61488923283874,-4.61488923283874,1.0
96000,1.4183233,23.958677685950413,-2.0158617,-4.809534240360103,-4.809534240360103,1.0
99000,1.4183233,24.22689075630252,-2.0472586,-4.974904000759125,-4.974904000759125,1.0
102000,1.4183232,25.236842105263158,-1.9957813,-4.543022086745815,-4.543022086745815,1.0
105000,1.4173758,24.0,-2.2302408,-4.660415992637476,-4.660415992637476,1.0
108000,1.417161,24.243697478991596,-2.2389157,-3.8957838821811834,-3.8957838821811834,1.0
111000,1.417161,25.166666666666668,-2.2267623,-4.095710270237505,-4.095710270237505,1.0
114000,1.4171612,26.897196261682243,-2.1951873,-4.190833506760774,-4.190833506760774,1.0
117000,1.4171611,24.65811965811966,-2.2460477,-4.25428814205349,-4.25428814205349,1.0
120000,1.4171611,24.016666666666666,-2.2524862,-4.079845910767714,-4.079845910767714,1.0
123000,1.4171612,25.191304347826087,-2.2542646,-4.524179401086724,-4.524179401086724,1.0
126000,1.4163994,26.431192660550458,-2.471204,-4.3069514659566615,-4.3069514659566615,1.0
129000,1.4163526,25.44736842105263,-2.3602433,-3.534914145344182,-3.534914145344182,1.0
132000,1.4163526,24.372881355932204,-2.5079436,-4.133774516946178,-4.133774516946178,1.0
135000,1.4163525,24.092436974789916,-2.32552,-3.2728664434256673,-3.2728664434256673,1.0
138000,1.4163525,25.61946902654867,-2.4293535,-3.9555669537687725,-3.9555669537687725,1.0
141000,1.4163525,25.263157894736842,-2.5025651,-4.394653757151804,-4.394653757151804,1.0
144000,1.416459,25.333333333333332,-2.4531124,-3.7243183924440753,-3.7243183924440753,1.0
147000,1.4174007,25.17391304347826,-2.580099,-3.5211561975271803,-3.5211561975271803,1.0
150000,1.4174007,25.857142857142858,-2.4711413,-3.12018642361675,-3.12018642361675,1.0
153000,1.4174007,26.72222222222222,-2.5325716,-3.6291182841415757,-3.6291182841415757,1.0
156000,1.4174006,25.236842105263158,-2.543589,-3.5243443648020425,-3.5243443648020425,1.0
159000,1.4174006,25.557522123893804,-2.4324844,-3.2341526477737763,-3.2341526477737763,1.0
162000,1.4174006,25.17391304347826,-2.5295527,-3.3316770620968033,-3.3316770620968033,1.0
165000,1.4170332,25.504424778761063,-2.570101,-3.0762658324916807,-3.0762658324916807,1.0
168000,1.4160624,25.6875,-2.4939878,-2.65178628425513,-2.65178628425513,1.0
171000,1.4160622,25.0,-2.466003,-2.5882022648022094,-2.5882022648022094,1.0
174000,1.4160622,26.62962962962963,-2.504445,-2.8280164864328174,-2.8280164864328174,1.0
177000,1.4160621,24.47457627118644,-2.6340427,-3.232110377590535,-3.232110377590535,1.0
180000,1.4160622,26.19090909090909,-2.3860986,-2.150401761856946,-2.150401761856946,1.0
183000,1.4160622,25.803571428571427,-2.5403264,-3.191422443304743,-3.191422443304743,1.0
186000,1.4150621,27.046296296296298,-2.281139,-1.9577718967640843,-1.9577718967640843,1.0
189000,1.4135193,25.464285714285715,-2.379622,-2.302258148657537,-2.302258148657537,1.0
192000,1.4135191,26.26605504587156,-2.417524,-2.3295918995683844,-2.3295918995683844,1.0
195000,1.4135194,25.0531914893617,-2.4457266,-2.351149462817008,-2.351149462817008,1.0
198000,1.4135191,26.40909090909091,-2.4606388,-2.5231262854554437,-2.5231262854554437,1.0
201000,1.4135191,25.8125,-2.3547802,-1.77669639938644,-1.77669639938644,1.0
204000,1.4135193,26.80373831775701,-2.556336,-2.8652994231642963,-2.8652994231642963,1.0
207000,1.4115931,26.381818181818183,-2.2780426,-1.7922207100824876,-1.7922207100824876,1.0
210000,1.4101838,25.83783783783784,-2.1608982,-1.5386997257267032,-1.5386997257267032,1.0
213000,1.4101839,26.234234234234233,-2.27245,-1.6586892518911276,-1.6586892518911276,1.0
216000,1.4101838,27.580952380952382,-2.254333,-1.5397572225048428,-1.5397572225048428,1.0
219000,1.4101838,26.486238532110093,-2.3130834,-1.3840282198485978,-1.3840282198485978,1.0
222000,1.4101839,27.4,-2.2006466,-1.426729833512079,-1.426729833512079,1.0
225000,1.4101838,26.93577981651376,-2.2727718,-1.7442506148859307,-1.7442506148859307,1.0
228000,1.4090538,27.150943396226417,-2.0838513,-1.2528721623331587,-1.2528721623331587,1.0
231000,1.4087108,26.3302752293578,-1.9341776,-1.095604321825395,-1.095604321825395,1.0
234000,1.4087107,27.1588785046729,-1.9421052,-1.127230244819249,-1.127230244819249,1.0
237000,1.4087108,25.513513513513512,-1.9898311,-1.1580356109355177,-1.1580356109355177,1.0
240000,1.4087107,26.490909090909092,-1.8453442,-0.6234560324387117,-0.6234560324387117,1.0
243000,1.4087108,27.056603773584907,-1.9007645,-0.6945761861103885,-0.6945761861103885,1.0
246000,1.4087108,26.675925925925927,-1.9919456,-1.0553494664254013,-1.0553494664254013,1.0
