Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,604.3,0.023972511,-4.112963093651666,-4.112963093651666,1.0
24000,1.4222765,1157.0714285714287,-0.04270633,-2.860714418547494,-2.860714418547494,1.0
36000,1.4185413,620.8333333333334,-0.13450027,-2.975438761083703,-2.975438761083703,1.0
48000,1.4155452,1279.1818181818182,-0.18842451,-4.865000230073929,-4.865000230073929,1.0
60000,1.4138196,494.6666666666667,-0.30689853,-1.9972224136193593,-1.9972224136193593,1.0
72000,1.4071988,638.0869565217391,-0.2586494,-2.8958334227403006,-2.8958334227403006,1.0
84000,1.4070711,698.1764705882352,-0.33760038,-2.4479166977107525,-2.4479166977107525,1.0
96000,1.39706,773.9375,-0.32622418,-2.991666631773114,-2.991666631773114,1.0
108000,1.3912947,577.7,-0.33350998,-4.451515273614363,-4.451515273614363,1.0
120000,1.3868816,755.4117647058823,-0.38921803,-3.079411836231456,-3.079411836231456,1.0
132000,1.3751942,759.578947368421,-0.34103048,-1.3052631883244765,-1.3052631883244765,1.0
144000,1.3686457,520.6666666666666,-0.30550736,-1.6312500797212124,-1.6312500797212124,1.0
156000,1.364408,983.5,-0.2945769,-1.9041668251156807,-1.9041668251156807,1.0
168000,1.3590361,1169.7142857142858,-0.3375879,-7.052564446742718,-7.052564446742718,1.0
180000,1.3571459,633.1764705882352,-0.38710892,-3.3568628360243404,-3.3568628360243404,1.0
192000,1.3548371,850.6111111111111,-0.39013728,-4.016666723317222,-4.016666723317222,1.0
204000,1.3516576,605.5555555555555,-0.38085777,-2.5284314190640167,-2.5284314190640167,1.0
216000,1.3462265,510.625,-0.38681325,-1.9427084475755692,-1.9427084475755692,1.0
228000,1.342014,740.5,-0.3345956,-3.176388909419378,-3.176388909419378,1.0
240000,1.3403723,992.0588235294117,-0.34512958,-3.0462964839405484,-3.0462964839405484,1.0
252000,1.3371925,691.7727272727273,-0.28078783,-3.7545457401058893,-3.7545457401058893,1.0
264000,1.3330299,637.4736842105264,-0.37493065,-2.472807137589706,-2.472807137589706,1.0
276000,1.3283669,808.1818181818181,-0.36956763,-3.6466668486595153,-3.6466668486595153,1.0
288000,1.3306985,790.0,-0.31732598,-2.544444545110067,-2.544444545110067,1.0
300000,1.3344206,771.0,-0.2537654,-0.9116667211055756,-0.9116667211055756,1.0
312000,1.3369377,740.0,-0.19483301,-1.7333334106951952,-1.7333334106951952,1.0
324000,1.3373473,924.1666666666666,-0.15554762,-2.319697092879902,-2.319697092879902,1.0
336000,1.3357805,1740.0,-0.18646388,-1.6370372374852498,-1.6370372374852498,1.0
348000,1.3376203,1399.0,-0.14667264,-4.705128472584945,-4.705128472584945,1.0
360000,1.3362523,688.7333333333333,-0.19899198,-2.565476289817265,-2.565476289817265,1.0
372000,1.333333,1037.375,-0.22741312,-3.3166666825612388,-3.3166666825612388,1.0
384000,1.3343956,1213.7142857142858,-0.2399184,-1.338095213685717,-1.338095213685717,1.0
396000,1.3314692,1067.0,-0.17193493,-3.8607145803315297,-3.8607145803315297,1.0
408000,1.3286039,1186.6666666666667,-0.226547,-3.0863637003031643,-3.0863637003031643,1.0
420000,1.32661,667.0555555555555,-0.24971414,-4.274561659285896,-4.274561659285896,1.0
432000,1.3246608,987.5,-0.2635916,-2.8291667997837067,-2.8291667997837067,1.0
444000,1.3236605,1520.5714285714287,-0.27341565,-3.197619387081691,-3.197619387081691,1.0
456000,1.3239499,1134.9166666666667,-0.22572514,-1.303030333735726,-1.303030333735726,1.0
468000,1.322529,1270.6363636363637,-0.18756217,-2.975000058611234,-2.975000058611234,1.0
480000,1.3217154,627.9285714285714,-0.25723013,-0.9820514046228849,-0.9820514046228849,1.0
492000,1.3218906,1104.6666666666667,-0.23449425,-4.856944759686788,-4.856944759686788,1.0
