Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189386,23.552845528455286,0.067692585,-5.750353096938524,-5.750353096938524,1.0
6000,1.4189385,24.3135593220339,0.04199768,-6.383117407055225,-6.383117407055225,1.0
9000,1.4189384,24.1,0.05048233,-6.340604522824288,-6.340604522824288,1.0
12000,1.4189385,23.225806451612904,0.026277881,-5.866203880117785,-5.866203880117785,1.0
15000,1.4189386,23.024193548387096,0.048399437,-5.907068446759255,-5.907068446759255,1.0
18000,1.4189385,23.3739837398374,0.054408893,-5.477578002118295,-5.477578002118295,1.0
21000,1.4191425,23.892561983471076,-0.1929033,-5.698414972921213,-5.698414972921213,1.0
24000,1.4235661,24.10924369747899,-1.3806823,-5.5468122641245525,-5.5468122641245525,1.0
27000,1.423566,23.308943089430894,-1.3623623,-4.992631000231921,-4.992631000231921,1.0
30000,1.4235661,22.714285714285715,-1.3539054,-4.728415598550181,-4.728415598550181,1.0
33000,1.4235661,23.414634146341463,-1.366363,-5.023470358635352,-5.023470358635352,1.0
36000,1.4235661,22.4375,-1.4092488,-4.8593476209789515,-4.8593476209789515,1.0
39000,1.4235661,23.565573770491802,-1.3885452,-5.092031572197304,-5.092031572197304,1.0
42000,1.4235901,23.056,-1.5601958,-5.383658580780029,-5.383658580780029,1.0
45000,1.4236077,23.40650406504065,-1.8001013,-5.004030832430211,-5.004030832430211,1.0
48000,1.4236078,23.68595041322314,-1.8020531,-5.097327690479184,-5.097327690479184,1.0
51000,1.4236077,23.4390243902439,-1.8166246,-4.941611510466754,-4.941611510466754,1.0
54000,1.4236077,23.48780487804878,-1.7773082,-4.834826282369412,-4.834826282369412,1.0
57000,1.4236077,22.603174603174605,-1.7851316,-4.820306165481177,-4.820306165481177,1.0
60000,1.4236077,23.288,-1.7645285,-4.860343556404114,-4.860343556404114,1.0
63000,1.4239938,23.81512605042017,-2.0500758,-5.407417977056584,-5.407417977056584,1.0
66000,1.4247797,22.4765625,-2.2009902,-4.352548492373899,-4.352548492373899,1.0
69000,1.4247798,23.008,-2.1572576,-4.239850057125092,-4.239850057125092,1.0
72000,1.4247797,22.4375,-2.1675577,-4.332155633717775,-4.332155633717775,1.0
75000,1.4247798,23.4390243902439,-2.184978,-4.7582518632819015,-4.7582518632819015,1.0
78000,1.4247798,23.710743801652892,-2.2055862,-5.2110607855576125,-5.2110607855576125,1.0
81000,1.4247798,22.746031746031747,-2.1430168,-4.085372952025707,-4.085372952025707,1.0
84000,1.4235604,24.78448275862069,-2.320794,-4.086311765785875,-4.086311765785875,1.0
87000,1.4229314,24.836206896551722,-2.365126,-4.308361687023064,-4.308361687023064,1.0
90000,1.4229316,23.75609756097561,-2.478897,-4.710347307998626,-4.710347307998626,1.0
93000,1.4229316,23.11382113821138,-2.4284687,-4.260087584776263,-4.260087584776263,1.0
96000,1.4229314,23.153225806451612,-2.47822,-4.221441731818261,-4.221441731818261,1.0
99000,1.4229314,22.401574803149607,-2.4943883,-4.3399787703529,-4.3399787703529,1.0
102000,1.4229316,22.5546875,-2.3794327,-3.7948260847479105,-3.7948260847479105,1.0
105000,1.4235892,23.169354838709676,-2.548845,-3.828778411111524,-3.828778411111524,1.0
108000,1.4238032,22.8015873015873,-2.5848458,-3.5871851037419034,-3.5871851037419034,1.0
111000,1.4238032,24.19327731092437,-2.7033465,-3.96939355134964,-3.96939355134964,1.0
114000,1.4238031,23.793388429752067,-2.674268,-4.1399749867187055,-4.1399749867187055,1.0
117000,1.4238033,23.10483870967742,-2.5746357,-3.531392133043658,-3.531392133043658,1.0
120000,1.4238031,24.52542372881356,-2.6500947,-3.6290852793697583,-3.6290852793697583,1.0
123000,1.4237213,22.231292517006803,-2.7186584,-3.801406227517873,-3.801406227517873,1.0
126000,1.4228678,24.485148514851485,-2.7150295,-3.316039816899733,-3.316039816899733,1.0
129000,1.4228677,24.322033898305083,-2.629707,-2.9820790720188013,-2.9820790720188013,1.0
132000,1.4228677,23.858333333333334,-2.6458585,-3.3014044067091195,-3.3014044067091195,1.0
135000,1.4228678,24.0,-2.7771773,-3.621769175926844,-3.621769175926844,1.0
138000,1.4228677,22.968,-2.6915257,-3.2669056396484377,-3.2669056396484377,1.0
141000,1.4228677,23.491803278688526,-2.6899583,-3.1786287226637855,-3.1786287226637855,1.0
144000,1.4228721,23.84297520661157,-2.7556057,-3.508153135126287,-3.508153135126287,1.0
147000,1.4224645,24.110169491525422,-2.7107887,-3.064699269643351,-3.064699269643351,1.0
150000,1.4224646,24.449152542372882,-2.6984901,-2.8277727729183133,-2.8277727729183133,1.0
153000,1.4224645,23.834710743801654,-2.6885948,-2.803922112323036,-2.803922112323036,1.0
156000,1.4224646,23.565573770491802,-2.6202133,-2.3342932706973594,-2.3342932706973594,1.0
159000,1.4224645,23.40650406504065,-2.6580799,-2.734831390342092,-2.734831390342092,1.0
162000,1.4224645,24.810344827586206,-2.7146273,-2.8961940171389746,-2.8961940171389746,1.0
165000,1.4221609,24.694915254237287,-2.6589088,-2.4256940769334125,-2.4256940769334125,1.0
168000,1.4215642,24.57758620689655,-2.5873191,-2.003941377513429,-2.003941377513429,1.0
171000,1.421564,24.96551724137931,-2.5458083,-2.0829445478217354,-2.0829445478217354,1.0
174000,1.4215642,25.99099099099099,-2.4586096,-1.765025354183472,-1.765025354183472,1.0
177000,1.4215642,25.12280701754386,-2.5959647,-2.284864319925723,-2.284864319925723,1.0
180000,1.421564,25.469026548672566,-2.5287786,-1.914139147880858,-1.914139147880858,1.0
183000,1.4215641,24.96551724137931,-2.5425158,-2.1599961385644715,-2.1599961385644715,1.0
186000,1.4210371,24.887931034482758,-2.4712973,-2.0704802829643776,-2.0704802829643776,1.0
189000,1.4203475,25.47787610619469,-2.3083298,-1.2641723182349078,-1.2641723182349078,1.0
192000,1.4203473,26.01801801801802,-2.331139,-1.0839074401705115,-1.0839074401705115,1.0
195000,1.4203475,25.945945945945947,-2.4146957,-1.4950499055641038,-1.4950499055641038,1.0
198000,1.4203473,25.504424778761063,-2.4192202,-1.7846006460949384,-1.7846006460949384,1.0
201000,1.4203475,24.45299145299145,-2.351827,-1.0340904659695096,-1.0340904659695096,1.0
204000,1.4203473,24.71794871794872,-2.3568249,-1.2807095646858215,-1.2807095646858215,1.0
207000,1.4184109,26.117117117117118,-2.2173414,-1.0732051747607756,-1.0732051747607756,1.0
210000,1.4169844,25.776785714285715,-2.1333475,-0.8723295275121927,-0.8723295275121927,1.0
213000,1.4169843,25.486725663716815,-2.2361195,-1.122110998208544,-1.122110998208544,1.0
216000,1.4169843,25.513274336283185,-2.3117936,-1.369380995235612,-1.369380995235612,1.0
219000,1.4169844,25.095652173913045,-2.239652,-1.1706293997557267,-1.1706293997557267,1.0
222000,1.4169843,26.054054054054053,-2.168709,-0.9750366194828136,-0.9750366194828136,1.0
225000,1.4169843,26.2,-2.0697155,-0.629569327289408,-0.629569327289408,1.0
228000,1.4156097,27.149532710280372,-2.0241802,-0.5942076979396499,-0.5942076979396499,1.0
231000,1.4152155,27.686274509803923,-1.7828388,0.26830606391796696,0.26830606391796696,1.0
234000,1.4152157,26.583333333333332,-1.9305036,-0.38697940552676163,-0.38697940552676163,1.0
237000,1.4152157,25.614035087719298,-2.041039,-0.7560978040360568,-0.7560978040360568,1.0
240000,1.4152155,27.257142857142856,-1.8333368,-0.14443024794260662,-0.14443024794260662,1.0
243000,1.4152157,25.504424778761063,-1.9863796,-0.3585169929846198,-0.3585169929846198,1.0
246000,1.4152155,29.0,-1.7979883,0.2411727288365364,0.2411727288365364,1.0
249000,1.4144824,27.42452830188679,-1.6095426,0.5344290823306678,0.5344290823306678,1.0
252000,1.4145237,28.46078431372549,-1.5379038,0.8094927998734456,0.8094927998734456,1.0
255000,1.4145238,26.94392523364486,-1.622459,0.6201237005608105,0.6201237005608105,1.0
258000,1.4145238,27.65714285714286,-1.5853343,0.5208929896354675,0.5208929896354675,1.0
261000,1.414524,27.701923076923077,-1.7780958,0.181118152822767,0.181118152822767,1.0
264000,1.4145238,26.477064220183486,-1.6457478,0.37137431945275823,0.37137431945275823,1.0
267000,1.4143976,25.415254237288135,-1.7017176,0.2416904950351046,0.2416904950351046,1.0
270000,1.4137229,26.16190476190476,-1.2153482,1.4887725607915359,1.4887725607915359,1.0
273000,1.4137228,26.10909090909091,-1.3555138,1.0830884590744971,1.0830884590744971,1.0
276000,1.4137229,27.14018691588785,-1.5147257,0.7413732949818406,0.7413732949818406,1.0
279000,1.4137229,26.29090909090909,-1.4128766,0.8902801302346316,0.8902801302346316,1.0
282000,1.4137229,27.19626168224299,-1.3637981,1.1329728075277026,1.1329728075277026,1.0
285000,1.4137229,28.594059405940595,-1.3842374,1.2559813845275651,1.2559813845275651,1.0
288000,1.413362,26.412844036697248,-1.252613,1.624383990644315,1.624383990644315,1.0
291000,1.4124603,28.028846153846153,-0.9971131,2.186010528069276,2.186010528069276,1.0
294000,1.4124603,27.17924528301887,-1.1291254,1.357051689669771,1.357051689669771,1.0
297000,1.4124602,28.55,-1.0746158,1.8904303999820558,1.8904303999820558,1.0
300000,1.4124603,26.486238532110093,-1.3622379,0.6741123276019315,0.6741123276019315,1.0
303000,1.4124603,27.31132075471698,-1.0775359,1.5173473161346507,1.5173473161346507,1.0
