Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
213000,1.4117347,23.48360656,-3.0696192,-3.702383776,-3.702383776,1
,,,,,,
216000,1.4117347,24.025,-3.0931852,-3.976053296,-3.976053296,1
,,,,,,
219000,1.4117346,23.78512397,-3.153739,-4.007267569,-4.007267569,1
,,,,,,
222000,1.4117347,24.71794872,-3.0541217,-3.74488844,-3.74488844,1
,,,,,,
225000,1.4117346,24.21008403,-3.1359227,-4.148156865,-4.148156865,1
,,,,,,
228000,1.411301,23.64754098,-3.1956596,-3.344874228,-3.344874228,1
,,,,,,
231000,1.4111825,24.70940171,-3.2078373,-3.787713932,-3.787713932,1
,,,,,,
234000,1.4111826,23.39344262,-3.267253,-3.707996789,-3.707996789,1
,,,,,,
237000,1.4111825,23.91735537,-3.2164216,-3.81312259,-3.81312259,1
,,,,,,
240000,1.4111824,24.07563025,-3.1820145,-3.464193607,-3.464193607,1
,,,,,,
243000,1.4111824,24.77777778,-3.2479808,-3.720914064,-3.720914064,1
,,,,,,
246000,1.4111261,24.37121212,-3.222371,-3.375233674,-3.375233674,1
,,,,,,
249000,1.4104214,24.41346154,-3.249806,-3.601192462,-3.601192462,1
,,,,,,
252000,1.4104214,23.99166667,-3.2775893,-3.786810673,-3.786810673,1
,,,,,,
255000,1.4104215,25.14782609,-3.141797,-3.004023736,-3.004023736,1
,,,,,,
258000,1.4104214,23.19354839,-3.334129,-3.965414858,-3.965414858,1
,,,,,,
261000,1.4104215,24.64102564,-3.182261,-3.452416903,-3.452416903,1
,,,,,,
264000,1.4104215,24.29661017,-3.2986555,-3.602586584,-3.602586584,1
,,,,,,
267000,1.41036,23.71311475,-3.2629855,-3.605780638,-3.605780638,1
,,,,,,
270000,1.40994,25.05217391,-3.249035,-3.449719377,-3.449719377,1
,,,,,,
273000,1.4099399,24.21008403,-3.1435688,-2.918396284,-2.918396284,1
,,,,,,
276000,1.40994,25.74107143,-3.2998035,-3.630733468,-3.630733468,1
,,,,,,
279000,1.4099401,24.95689655,-3.307602,-3.492949433,-3.492949433,1
,,,,,,
282000,1.40994,24.80172414,-3.1860838,-3.101743451,-3.101743451,1
,,,,,,
285000,1.4099401,24.47457627,-3.1972964,-3.310550426,-3.310550426,1
,,,,,,
288000,1.409697,24.52136752,-3.177219,-3.25464949,-3.25464949,1
,,,,,,
291000,1.4091328,25.29565217,-3.1969917,-3.038462599,-3.038462599,1
,,,,,,
294000,1.4091327,24.97391304,-3.0740337,-2.982403064,-2.982403064,1
,,,,,,
297000,1.4091328,23.136,-3.1840727,-3.145901796,-3.145901796,1
,,,,,,
300000,1.4091326,25.53571429,-3.21269,-3.095292483,-3.095292483,1
,,,,,,
303000,1.4091327,24.025,-3.03659,-2.753602288,-2.753602288,1
,,,,,,
306000,1.4091327,24.41176471,-3.2344115,-3.54354798,-3.54354798,1
,,,,,,
309000,1.408754,25.07826087,-3.1711583,-2.861435583,-2.861435583,1
,,,,,,
312000,1.4083546,24.17647059,-3.1386628,-3.370149807,-3.370149807,1
,,,,,,
315000,1.4083546,24.45762712,-3.0017915,-2.470042407,-2.470042407,1
,,,,,,
318000,1.4083545,24.28813559,-3.1157339,-3.171869128,-3.171869128,1
,,,,,,
321000,1.4083544,24.99130435,-3.0079103,-2.438380287,-2.438380287,1
,,,,,,
324000,1.4083546,25.43859649,-3.0682852,-3.01471067,-3.01471067,1
,,,,,,
327000,1.4083545,24.33050847,-2.997079,-2.487462954,-2.487462954,1
,,,,,,
330000,1.4079757,26.25454545,-2.883314,-2.413731267,-2.413731267,1
,,,,,,
333000,1.4077785,24.13445378,-2.7936258,-1.8712754,-1.8712754,1
,,,,,,
336000,1.4077786,25.14035088,-3.045726,-2.742888203,-2.742888203,1
,,,,,,
339000,1.4077785,26.12612613,-2.954666,-2.350688723,-2.350688723,1
,,,,,,
342000,1.4077785,25.42477876,-3.006071,-2.55092024,-2.55092024,1
,,,,,,
345000,1.4077785,25.96428571,-3.0585194,-2.646121145,-2.646121145,1
,,,,,,
348000,1.4077785,23.975,-2.920936,-2.363814825,-2.363814825,1
,,,,,,
351000,1.4074335,25.85714286,-2.772269,-1.88741873,-1.88741873,1
,,,,,,
354000,1.4073582,25.09649123,-2.7418416,-1.820763199,-1.820763199,1
,,,,,,
357000,1.4073582,26.36363636,-2.9538076,-2.522626845,-2.522626845,1
,,,,,,
360000,1.4073583,26.12612613,-2.7365406,-1.791864721,-1.791864721,1
,,,,,,
363000,1.4073583,27.32075472,-2.8849094,-2.176347067,-2.176347067,1
,,,,,,
366000,1.4073582,25.10526316,-2.758664,-2.030219076,-2.030219076,1
,,,,,,
369000,1.4073111,26.48333333,-2.7101743,-1.908777358,-1.908777358,1
,,,,,,
372000,1.406706,25.60784314,-2.5975564,-1.703788802,-1.703788802,1
,,,,,,
375000,1.4067057,26.47706422,-2.4580345,-1.067218292,-1.067218292,1
,,,,,,
378000,1.4067057,24.88793103,-2.6254144,-1.843180127,-1.843180127,1
,,,,,,
381000,1.4067057,26,-2.675438,-1.545601355,-1.545601355,1
,,,,,,
384000,1.4067057,25.32743363,-2.78972,-2.45258689,-2.45258689,1
,,,,,,
387000,1.4067059,26.44036697,-2.5597475,-1.401625133,-1.401625133,1
,,,,,,
390000,1.4066068,25.12280702,-2.5168037,-1.447283004,-1.447283004,1
,,,,,,
393000,1.405996,27.79807692,-2.422264,-1.339460072,-1.339460072,1
,,,,,,
396000,1.4059961,26.43636364,-2.3011312,-1.208973969,-1.208973969,1
,,,,,,
399000,1.405996,27.09345794,-2.3067822,-0.806754785,-0.806754785,1
,,,,,,
402000,1.4059958,25.23893805,-2.540891,-1.670662637,-1.670662637,1
,,,,,,
405000,1.4059958,26.85185185,-2.5286942,-1.296607213,-1.296607213,1
,,,,,,
408000,1.405996,26.66666667,-2.451768,-1.198308841,-1.198308841,1
,,,,,,
411000,1.4057653,27.83653846,-2.3606796,-0.947998908,-0.947998908,1
,,,,,,
414000,1.405265,27.06481481,-2.2869089,-1.102523285,-1.102523285,1
,,,,,,
417000,1.4052649,26.71296296,-2.2119079,-0.919332168,-0.919332168,1
,,,,,,
420000,1.405265,25.44247788,-2.1253076,-0.489289099,-0.489289099,1
,,,,,,
423000,1.4052651,26.10810811,-2.193571,-0.881484747,-0.881484747,1
,,,,,,
426000,1.405265,27.32075472,-2.2777627,-0.697146594,-0.697146594,1
,,,,,,
429000,1.4052649,27.70192308,-2.263616,-0.878412083,-0.878412083,1
,,,,,,
432000,1.4048723,27.0462963,-2.1680214,-0.773811743,-0.773811743,1
,,,,,,
435000,1.4044753,26.3,-2.0643287,-0.569822757,-0.569822757,1
,,,,,,
438000,1.4044752,25.41964286,-2.2057102,-0.807485058,-0.807485058,1
,,,,,,
