Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
350000,1.4030075,26.102981029810298,0.38629544,3.416736640823566,3.416736640823566,2.2753215,0.3878819,0.0012866049,0.14288683,0.0021500527,1.0
360000,1.39967,25.943877551020407,0.4534683,3.56098120544046,3.56098120544046,2.4460864,0.34603947,0.0012217902,0.14072633,0.0020422442,1.0
370000,1.3964117,25.56056338028169,0.49081436,3.707530690386971,3.707530690386971,2.408165,0.37068444,0.0011574252,0.13858083,0.0019351837,1.0
380000,1.3948328,27.11830985915493,0.7099026,4.232019390018893,4.232019390018893,2.5143812,0.3739872,0.0011123603,0.13707869,0.001860225,1.0
390000,1.3931919,27.770114942528735,0.77557415,4.0824534617278765,4.0824534617278765,2.4847887,0.29498234,0.0010671951,0.13557316,0.0017851007,1.0
400000,1.3906476,27.00560224089636,0.84501976,4.7063739393271655,4.7063739393271655,2.6002543,0.35264987,0.0010216454,0.13405485,0.0017093358,1.0
410000,1.3881309,26.974719101123597,0.8955417,4.501729018547955,4.501729018547955,3.038162,0.38076872,0.00097591494,0.13253048,0.0016332718,1.0
420000,1.3857622,27.48,1.0147618,4.911023164406801,4.911023164406801,2.9387786,0.33583543,0.0009318252,0.13106084,0.0015599355,1.0
430000,1.3835346,27.240793201133144,1.0684676,5.1291781487522154,5.1291781487522154,3.0097742,0.37262937,0.0008854799,0.12951604,0.0014828483,1.0
440000,1.380658,28.13450292397661,1.1797582,5.181562141843857,5.181562141843857,2.9718747,0.3892155,0.00084060023,0.12802002,0.0014081977,1.0
450000,1.3783351,27.80979827089337,1.3567017,5.405296866505565,5.405296866505565,3.0031438,0.35477534,0.0007935651,0.12645218,0.0013299627,1.0
460000,1.3759862,27.80952380952381,1.3869625,5.520445173825097,5.520445173825097,3.060678,0.3554634,0.0007247276,0.12415761,0.0012154633,1.0
470000,1.3736607,27.513196480938415,1.4713801,5.502250678474377,5.502250678474377,2.9221075,0.31922132,0.00065626524,0.12187551,0.0011015873,1.0
480000,1.3714316,27.703170028818445,1.7022449,5.940890309026186,5.940890309026186,3.5473633,0.33765265,0.0006102451,0.12034151,0.0010250404,1.0
490000,1.3693883,26.542699724517906,1.5567069,5.455445242697721,5.455445242697721,3.0670853,0.33298036,0.00056536007,0.118845314,0.00095038186,1.0
500000,1.3676412,27.626436781609197,1.7614075,6.088457925271851,6.088457925271851,2.9392877,0.32517704,0.0005205051,0.11735015,0.0008757732,1.0
510000,1.3660764,27.56,1.7705485,6.202797742826598,6.202797742826598,3.4178414,0.34132436,0.0004740451,0.11580152,0.00079849496,1.0
520000,1.3653045,28.43235294117647,1.8839822,6.571782462211216,6.571782462211216,3.5904286,0.37065476,0.00042772017,0.114257336,0.0007214412,1.0
530000,1.3647072,27.386363636363637,1.8054217,5.977003183893182,5.977003183893182,3.2744153,0.33921126,0.0003822201,0.11274068,0.0006457591,1.0
540000,1.3638097,27.732758620689655,1.8139402,6.068009628817953,6.068009628817953,3.3805437,0.27165565,0.00033622995,0.11120768,0.00056926237,1.0
550000,1.3629272,27.58,1.8688754,6.102607734373637,6.102607734373637,3.2902684,0.30290496,0.00029067005,0.109689,0.00049348094,1.0
560000,1.3619949,27.89855072463768,1.9157025,6.416206486910754,6.416206486910754,3.052282,0.3088357,0.00024472503,0.10815748,0.00041705917,1.0
570000,1.3613615,27.429378531073446,1.8706082,6.236417360519144,6.236417360519144,3.30195,0.32322982,0.00017552765,0.1058509,0.0003019607,1.0
580000,1.3607289,28.645833333333332,2.0037813,6.754467005031349,6.754467005031349,3.7638025,0.32630637,0.00010546509,0.103515476,0.00018542347,1.0
590000,1.3602337,28.131195335276967,2.008775,6.58832449728824,6.58832449728824,3.4579368,0.30724102,5.8420035e-05,0.10194732,0.00010717185,1.0
600000,1.3600469,28.620178041543028,2.0808628,6.724896994295035,6.724896994295035,3.9485447,0.28681436,1.1395019e-05,0.100379854,2.8953544e-05,1.0
